text,tag
and meanwhile billionaires are going for a ride on the space,3
These sites just attract the anti vax nuts.,2
Not in Papua New Guinea. No covid19 in Png.,3
"Yes wiped as all out, it's that makes everybody safe and protect .",3
Nope not the islands but then they have nothing to do with the states lol.  Rest of countries are followers let's see how that works for them in the end.  Lol,2
"My 1st day of covid19 detected ,I have just once101degreF temperature it is just because of I'm verbally it is easy to pass through out covid19 with vepon of vaccine for protection from it",3
The average age for death from COVID is older than the average age of natural death. Let’s discuss why we locked up our kids and our family patriarchs…,2
reckon,4
It’s impossible for us all to be safe.   Seems fairly grandiose to not rest until every single person is safe.,4
"If a real emergency broke out, no one would believe you , after all this hypocrisy",1
"It looks good, it sounds good but it wont be any good until its delivered to those in need. Words can be rather hollow even when intentions are not.",1
The World is tired of your hypocrisy as no one is really safe until you all are caught.,1
Pity they are so pro abortion.,3
The level of incompetence is alarming! Both from political leaders as well as the health organizations such as the WHO and the CDC.,1
I have had both jabs and am still at risk apparently,2
Safe me God from every harm from this people,2
The who are openly corrupting evidence  and health proffesionals are being silenced  they  cant afford not to work either,1
So has influenza and coranvirus related diseases,3
Any country that is left out of the vaccine rollout should consider it a blessing.,2
Everyone is not safe until if u start telling the truth,1
Does every country use the same propaganda approach ?,2
stop scaring the mankind..stop manipulating the whole world...,1
"There are more cases since the vaccinations than there were before.   Please, someone explain that!",2
"How dare you WHO still talk like you are saving the world!!! Are you not scared for your judgment? Do you know anything about Karma? Even that you do not know, how could you save the world?! God excist and you will not escape His final act!!!",1
Bit like the climate change really non existant.,3
Yeah we're all going to get wiped out and there will be no one left,2
Why are people blaming governments it’s not they fault just get vaccinated they help!,4
I am tired of hearing the word vaccine,1
Maybe its time YOU LEAVE US LIVE OUR LIFES AND PROTECT OURSELVES HOW WE WANT. Thank you,1
China must be held accountable.,1
"World governments should have found a different solution to reduce the human population, but knowing how we treat the animal nations I suppose it's a karmic balance.",2
"Absurd: ""No one goes to heaven until everybody goes to heaven"". ""No one is safe until everybody is safe"" is equivalent to saying No one is happy until everybody is as rich as Tedros.",1
"China did a darn good job, infect the world, wave after wave, but they are fine.",1
Fear mongering at its best right here. There will always be a new variant we should all just stay inside.,1
"WHO, you let the whole planet down. There’s no reason for you to exist anymore. We want our health and our freedom back.",1
Nothing but lie a way to go for reset no tanks,1
I hate them! They are liers! They have an agreement with powerful people that wants to dominates humanity,1
You mean the media as affected every country in the world.,2
People should be protected against WHO. This organization has no use to exist anymore. They proved unable to take any egicient actions in nothing.,1
We have left over vaccines in Cameroon please come and collect before it expires.abeg,3
We have all been played like an old violin . There is only one variant and it was deliberately released. This is all starting to come out and it’s based on money and control .,1
Bill Gates paying you well?,2
A school is the only business where customers are beaten and sent home for money,3
Are anti-vaxers like anti- burglars or anti- murderers.,3
Out comes the risk meter!  I have seen that same meter and style elsewhere  Obviously one graphic designer made some adds for you Nazis  Sounds like the Hitler story,2
It’s those Younger Set.. that’s throwing it outa the door.. by Not taking There Responsibility.,2
"Stop the rubbish, please  You are beyond ridiculous. Your scam is in plain sight and you'll pay for it.",1
North Korea = 0 cases,3
Not effected London tonight as Wembley host the football Cup final.   Carrots dangle well at present.,3
The ingredients even massed vegan/ vegetarian humans³ biggest curse to the demon culprits,1
The enemies of intellectual liberty always try to present their case as a plea for discipline.  George Orwell,2
"What do you think,  will affect the pandemic with their soccer championship?",3
WHO you just play and put down people's life in this planet. Theres no such Covid. Its all about business that makes you MONEY.,1
Its going to be so difficult  to police people who are vaxinated and those who are not extra work for the hospitality section and what about the protection of workers that are not vaxinated mainly the younger ones it's all gone mad,2
Get to the bottom where is this shity covid 19 came from and hold those responsible. Fecking nightmare living in lockdown no matter what we do. Tell the truth about the vaccine too they cause lots of side effects. Vaccine should be good for us not make us sick. This is a big mess,1
Thank you WHO you really did care for everybody in the world... hopefully everyone will get the vaccine and this pandemic will be gone...and God help us to be normal again,5
Where are the vaccines?,2
Fear is only currency to control you,1
We're safe without vaccines. See England and Italy stadium attendance.,3
Yes no one is safe from WHO,1
When will Servicing POLICE .. just stand up and say NO MORE..... we will NOT allow our people to be treated like this....!,1
This is getting ridiculous. If people want to get the vaccine let them. But don't force people that don't want to get the vaccine to get it.  This is taking away free choice.,1
"I'm in a crowd, I don't wear a mask and I'm grateful I'm still healthy while those who apply health protocols and receive the vaccine they suffer, some are paralyzed and even die",3
Well w.h.o had better make sure they pay for all the vaccines poorer countries need then instead of expecting us Western countries to keep digging into OUR pockets. These countries have governments too so they should pay for their own. Most of these countries only pretend to like us when they are getting something out of us.,2
"No thanks to your covid vaccine, I’ve been safe the entire pandemic without it!",1
bs! who lost its credibility over a year ago... with one cheque from  billie,1
Just as Jesus christ has affected every country in the world but Jesus christ stands as a winner and the Hope to the whole world,3
"Interesting that the governments of Tanzania, Burundi, and Haiti said no thanks to the WHO’s offer of the covid vaccine for their countries. What happened next?",2
This video is sponsored by the people who started the pandemic!,2
"With the right people funding them, u can make anything happen isn’t that right WHO? Someone like who has major shares in a certain vaccine company and is the 3rd richest man in the world.",1
It's every country for themselves now because the economy is dying at a fast rate... African countries are in for it because we don't Know what to do we literally running around like headless chickens... But I do believe God has not forsaken us ... He will come for our rescue,3
WHO the society is coming for you and your friends and it will be the end to the deceitful behavior in every government,1
Unite families across,3
No mention of who is responsible for the plague in the first place. They should be dragged to the Hague.,2
